source_plate,destination_plate,source_well,destination_well,volume_nL
color_plate,art_plate,A1,K25,500
color_plate,art_plate,A1,K26,500
color_plate,art_plate,A1,K28,500
color_plate,art_plate,A1,K33,500
color_plate,art_plate,A1,K34,500
color_plate,art_plate,A1,K39,500
color_plate,art_plate,A1,L9,500
color_plate,art_plate,A1,L13,500
color_plate,art_plate,A1,L14,500
color_plate,art_plate,A1,L15,500
color_plate,art_plate,A1,L17,500
color_plate,art_plate,A1,L18,500
color_plate,art_plate,A1,L19,500
color_plate,art_plate,A1,L21,500
color_plate,art_plate,A1,L22,500
color_plate,art_plate,A1,L23,500
color_plate,art_plate,A1,L24,500
color_plate,art_plate,A1,L25,500
color_plate,art_plate,A1,L27,500
color_plate,art_plate,A1,L28,500
color_plate,art_plate,A1,L30,500
color_plate,art_plate,A1,L32,500
color_plate,art_plate,A1,L35,500
color_plate,art_plate,A1,L36,500
color_plate,art_plate,A1,L37,500
color_plate,art_plate,A1,L39,500
color_plate,art_plate,A1,L40,500
color_plate,art_plate,A1,M9,500
color_plate,art_plate,A1,M10,500
color_plate,art_plate,A1,M12,500
color_plate,art_plate,A1,M13,500
color_plate,art_plate,A1,M14,500
color_plate,art_plate,A1,M16,500
color_plate,art_plate,A1,M18,500
color_plate,art_plate,A1,M23,500
color_plate,art_plate,A1,M25,500
color_plate,art_plate,A1,M28,500
color_plate,art_plate,A1,M29,500
color_plate,art_plate,A1,M32,500
color_plate,art_plate,A1,M33,500
color_plate,art_plate,A1,M34,500
color_plate,art_plate,A1,M36,500
color_plate,art_plate,A1,M39,500
color_plate,art_plate,A1,N9,500
color_plate,art_plate,A1,N11,500
color_plate,art_plate,A1,N12,500
color_plate,art_plate,A1,N13,500
color_plate,art_plate,A1,N14,500
color_plate,art_plate,A1,N15,500
color_plate,art_plate,A1,N20,500
color_plate,art_plate,A1,N22,500
color_plate,art_plate,A1,N24,500
color_plate,art_plate,A1,N25,500
color_plate,art_plate,A1,N26,500
color_plate,art_plate,A1,N27,500
color_plate,art_plate,A1,N28,500
color_plate,art_plate,A1,N29,500
color_plate,art_plate,A1,N32,500
color_plate,art_plate,A1,N34,500
color_plate,art_plate,A1,N40,500
color_plate,art_plate,A1,O9,500
color_plate,art_plate,A1,O12,500
color_plate,art_plate,A1,O13,500
color_plate,art_plate,A1,O15,500
color_plate,art_plate,A1,O17,500
color_plate,art_plate,A1,O21,500
color_plate,art_plate,A1,O22,500
color_plate,art_plate,A1,O23,500
color_plate,art_plate,A1,O25,500
color_plate,art_plate,A1,O26,500
color_plate,art_plate,A1,O27,500
color_plate,art_plate,A1,O31,500
color_plate,art_plate,A1,O33,500
color_plate,art_plate,A1,O34,500
color_plate,art_plate,A1,P9,500
color_plate,art_plate,A1,P10,500
color_plate,art_plate,A1,P11,500
color_plate,art_plate,A1,P12,500
color_plate,art_plate,A1,P13,500
color_plate,art_plate,A1,P14,500
color_plate,art_plate,A1,P15,500
color_plate,art_plate,A1,P16,500
color_plate,art_plate,A1,P17,500
color_plate,art_plate,A1,P18,500
color_plate,art_plate,A1,P19,500
color_plate,art_plate,A1,P20,500
color_plate,art_plate,A1,P21,500
color_plate,art_plate,A1,P22,500
color_plate,art_plate,A1,P23,500
color_plate,art_plate,A1,P24,500
color_plate,art_plate,A1,P25,500
color_plate,art_plate,A1,P26,500
color_plate,art_plate,A1,P27,500
color_plate,art_plate,A1,P28,500
color_plate,art_plate,A1,P29,500
color_plate,art_plate,A1,P30,500
color_plate,art_plate,A1,P31,500
color_plate,art_plate,A1,P32,500
color_plate,art_plate,A1,P33,500
color_plate,art_plate,A1,P34,500
color_plate,art_plate,A1,P35,500
color_plate,art_plate,A1,P36,500
color_plate,art_plate,A1,P37,500
color_plate,art_plate,A1,P38,500
color_plate,art_plate,A1,P39,500
color_plate,art_plate,A1,P40,500
color_plate,art_plate,A1,Q9,500
color_plate,art_plate,A1,Q11,500
color_plate,art_plate,A1,Q13,500
color_plate,art_plate,A1,Q15,500
color_plate,art_plate,A1,Q17,500
color_plate,art_plate,A1,Q19,500
color_plate,art_plate,A1,Q21,500
color_plate,art_plate,A1,Q23,500
color_plate,art_plate,A1,Q25,500
color_plate,art_plate,A1,Q27,500
color_plate,art_plate,A1,Q29,500
color_plate,art_plate,A1,Q31,500
color_plate,art_plate,A1,Q33,500
color_plate,art_plate,A1,Q35,500
color_plate,art_plate,A1,Q37,500
color_plate,art_plate,A1,Q39,500
color_plate,art_plate,A1,R9,500
color_plate,art_plate,A1,R16,500
color_plate,art_plate,A1,R17,500
color_plate,art_plate,A1,R24,500
color_plate,art_plate,A1,R25,500
color_plate,art_plate,A1,R29,500
color_plate,art_plate,A1,R31,500
color_plate,art_plate,A1,R35,500
color_plate,art_plate,A1,R40,500
color_plate,art_plate,A1,S9,500
color_plate,art_plate,A1,S11,500
color_plate,art_plate,A1,S12,500
color_plate,art_plate,A1,S13,500
color_plate,art_plate,A1,S14,500
color_plate,art_plate,A1,S17,500
color_plate,art_plate,A1,S18,500
color_plate,art_plate,A1,S19,500
color_plate,art_plate,A1,S20,500
color_plate,art_plate,A1,S25,500
color_plate,art_plate,A1,S29,500
color_plate,art_plate,A1,S31,500
color_plate,art_plate,A1,S33,500
color_plate,art_plate,A1,S34,500
color_plate,art_plate,A1,S37,500
color_plate,art_plate,A1,T9,500
color_plate,art_plate,A1,T10,500
color_plate,art_plate,A1,T13,500
color_plate,art_plate,A1,T14,500
color_plate,art_plate,A1,T15,500
color_plate,art_plate,A1,T16,500
color_plate,art_plate,A1,T17,500
color_plate,art_plate,A1,T18,500
color_plate,art_plate,A1,T21,500
color_plate,art_plate,A1,T24,500
color_plate,art_plate,A1,T25,500
color_plate,art_plate,A1,T30,500
color_plate,art_plate,A1,T31,500
color_plate,art_plate,A1,T37,500
color_plate,art_plate,A1,T40,500
color_plate,art_plate,A1,U9,500
color_plate,art_plate,A1,U10,500
color_plate,art_plate,A1,U13,500
color_plate,art_plate,A1,U14,500
color_plate,art_plate,A1,U15,500
color_plate,art_plate,A1,U16,500
color_plate,art_plate,A1,U20,500
color_plate,art_plate,A1,U21,500
color_plate,art_plate,A1,U25,500
color_plate,art_plate,A1,U26,500
color_plate,art_plate,A1,U29,500
color_plate,art_plate,A1,U30,500
color_plate,art_plate,A1,U34,500
color_plate,art_plate,A1,U35,500
color_plate,art_plate,A1,U36,500
color_plate,art_plate,A1,U37,500
color_plate,art_plate,A1,U39,500
color_plate,art_plate,A1,V9,500
color_plate,art_plate,A1,V10,500
color_plate,art_plate,A1,V14,500
color_plate,art_plate,A1,V16,500
color_plate,art_plate,A1,V17,500
color_plate,art_plate,A1,V19,500
color_plate,art_plate,A1,V20,500
color_plate,art_plate,A1,V24,500
color_plate,art_plate,A1,V25,500
color_plate,art_plate,A1,V26,500
color_plate,art_plate,A1,V29,500
color_plate,art_plate,A1,V30,500
color_plate,art_plate,A1,V37,500
color_plate,art_plate,A1,V38,500
color_plate,art_plate,A1,V40,500
color_plate,art_plate,A1,W9,500
color_plate,art_plate,A1,W10,500
color_plate,art_plate,A1,W12,500
color_plate,art_plate,A1,W13,500
color_plate,art_plate,A1,W16,500
color_plate,art_plate,A1,W17,500
color_plate,art_plate,A1,W22,500
color_plate,art_plate,A1,W23,500
color_plate,art_plate,A1,W25,500
color_plate,art_plate,A1,W27,500
color_plate,art_plate,A1,W30,500
color_plate,art_plate,A1,W33,500
color_plate,art_plate,A1,W34,500
color_plate,art_plate,A1,W38,500
color_plate,art_plate,A1,X9,500
color_plate,art_plate,A1,X11,500
color_plate,art_plate,A1,X13,500
color_plate,art_plate,A1,X15,500
color_plate,art_plate,A1,X17,500
color_plate,art_plate,A1,X18,500
color_plate,art_plate,A1,X22,500
color_plate,art_plate,A1,X24,500
color_plate,art_plate,A1,X25,500
color_plate,art_plate,A1,X28,500
color_plate,art_plate,A1,X29,500
color_plate,art_plate,A1,X30,500
color_plate,art_plate,A1,X31,500
color_plate,art_plate,A1,X33,500
color_plate,art_plate,A1,X34,500
color_plate,art_plate,A1,X35,500
color_plate,art_plate,A1,X36,500
color_plate,art_plate,A1,X38,500
color_plate,art_plate,A1,X40,500
color_plate,art_plate,A1,Y9,500
color_plate,art_plate,A1,Y12,500
color_plate,art_plate,A1,Y13,500
color_plate,art_plate,A1,Y15,500
color_plate,art_plate,A1,Y16,500
color_plate,art_plate,A1,Y17,500
color_plate,art_plate,A1,Y22,500
color_plate,art_plate,A1,Y23,500
color_plate,art_plate,A1,Y25,500
color_plate,art_plate,A1,Y27,500
color_plate,art_plate,A1,Y28,500
color_plate,art_plate,A1,Y33,500
color_plate,art_plate,A1,Y38,500
color_plate,art_plate,A1,Z9,500
color_plate,art_plate,A1,Z12,500
color_plate,art_plate,A1,Z13,500
color_plate,art_plate,A1,Z14,500
color_plate,art_plate,A1,Z16,500
color_plate,art_plate,A1,Z19,500
color_plate,art_plate,A1,Z21,500
color_plate,art_plate,A1,Z22,500
color_plate,art_plate,A1,Z23,500
color_plate,art_plate,A1,Z24,500
color_plate,art_plate,A1,Z25,500
color_plate,art_plate,A1,Z26,500
color_plate,art_plate,A1,Z27,500
color_plate,art_plate,A1,Z31,500
color_plate,art_plate,A1,Z33,500
color_plate,art_plate,A1,Z36,500
color_plate,art_plate,A1,Z40,500
color_plate,art_plate,A1,AA9,500
color_plate,art_plate,A1,AA10,500
color_plate,art_plate,A1,AA11,500
color_plate,art_plate,A1,AA16,500
color_plate,art_plate,A1,AA18,500
color_plate,art_plate,A1,AA19,500
color_plate,art_plate,A1,AA20,500
color_plate,art_plate,A1,AA21,500
color_plate,art_plate,A1,AA25,500
color_plate,art_plate,A1,AA26,500
color_plate,art_plate,A1,AA27,500
color_plate,art_plate,A1,AA32,500
color_plate,art_plate,A1,AA33,500
color_plate,art_plate,A1,AA34,500
color_plate,art_plate,A1,AA35,500
color_plate,art_plate,A1,AB9,500
color_plate,art_plate,A1,AB12,500
color_plate,art_plate,A1,AB13,500
color_plate,art_plate,A1,AB15,500
color_plate,art_plate,A1,AB20,500
color_plate,art_plate,A1,AB21,500
color_plate,art_plate,A1,AB24,500
color_plate,art_plate,A1,AB25,500
color_plate,art_plate,A1,AB27,500
color_plate,art_plate,A1,AB30,500
color_plate,art_plate,A1,AB35,500
color_plate,art_plate,A1,AB38,500
color_plate,art_plate,A1,AB39,500
color_plate,art_plate,A1,AB40,500
color_plate,art_plate,A1,AC9,500
color_plate,art_plate,A1,AC10,500
color_plate,art_plate,A1,AC11,500
color_plate,art_plate,A1,AC15,500
color_plate,art_plate,A1,AC17,500
color_plate,art_plate,A1,AC18,500
color_plate,art_plate,A1,AC19,500
color_plate,art_plate,A1,AC20,500
color_plate,art_plate,A1,AC22,500
color_plate,art_plate,A1,AC25,500
color_plate,art_plate,A1,AC27,500
color_plate,art_plate,A1,AC28,500
color_plate,art_plate,A1,AC29,500
color_plate,art_plate,A1,AC30,500
color_plate,art_plate,A1,AC31,500
color_plate,art_plate,A1,AC34,500
color_plate,art_plate,A1,AC35,500
color_plate,art_plate,A1,AC36,500
color_plate,art_plate,A1,AD9,500
color_plate,art_plate,A1,AD14,500
color_plate,art_plate,A1,AD15,500
color_plate,art_plate,A1,AD16,500
color_plate,art_plate,A1,AD18,500
color_plate,art_plate,A1,AD21,500
color_plate,art_plate,A1,AD22,500
color_plate,art_plate,A1,AD24,500
color_plate,art_plate,A1,AD25,500
color_plate,art_plate,A1,AD30,500
color_plate,art_plate,A1,AD32,500
color_plate,art_plate,A1,AD34,500
color_plate,art_plate,A1,AD35,500
color_plate,art_plate,A1,AD36,500
color_plate,art_plate,A1,AD38,500
color_plate,art_plate,A1,AD40,500
color_plate,art_plate,A1,AE9,500
color_plate,art_plate,A1,AE10,500
color_plate,art_plate,A1,AE13,500
color_plate,art_plate,A1,AE14,500
color_plate,art_plate,A1,AE18,500
color_plate,art_plate,A1,AE19,500
color_plate,art_plate,A1,AE21,500
color_plate,art_plate,A1,AE25,500
color_plate,art_plate,A1,AE28,500
color_plate,art_plate,A1,AE30,500
color_plate,art_plate,A1,AE32,500
color_plate,art_plate,A1,AE33,500
color_plate,art_plate,A1,AE34,500
color_plate,art_plate,A1,AE35,500
color_plate,art_plate,A1,AE37,500
color_plate,art_plate,A1,AF9,500
color_plate,art_plate,A1,AF10,500
color_plate,art_plate,A1,AF11,500
color_plate,art_plate,A1,AF12,500
color_plate,art_plate,A1,AF13,500
color_plate,art_plate,A1,AF14,500
color_plate,art_plate,A1,AF15,500
color_plate,art_plate,A1,AF16,500
color_plate,art_plate,A1,AF17,500
color_plate,art_plate,A1,AF18,500
color_plate,art_plate,A1,AF19,500
color_plate,art_plate,A1,AF20,500
color_plate,art_plate,A1,AF21,500
color_plate,art_plate,A1,AF22,500
color_plate,art_plate,A1,AF23,500
color_plate,art_plate,A1,AF24,500
color_plate,art_plate,A1,AF25,500
color_plate,art_plate,A1,AF26,500
color_plate,art_plate,A1,AF27,500
color_plate,art_plate,A1,AF28,500
color_plate,art_plate,A1,AF29,500
color_plate,art_plate,A1,AF30,500
color_plate,art_plate,A1,AF31,500
color_plate,art_plate,A1,AF32,500
color_plate,art_plate,A1,AF33,500
color_plate,art_plate,A1,AF34,500
color_plate,art_plate,A1,AF35,500
color_plate,art_plate,A1,AF36,500
color_plate,art_plate,A1,AF37,500
color_plate,art_plate,A1,AF38,500
color_plate,art_plate,A1,AF39,500
color_plate,art_plate,A1,AF40,500
