source_plate,destination_plate,source_well,destination_well,volume_nL
color_plate,art_plate,A1,A2,250
color_plate,art_plate,A1,A3,250
color_plate,art_plate,A1,A4,250
color_plate,art_plate,A1,A13,250
color_plate,art_plate,A1,A15,250
color_plate,art_plate,A1,A17,250
color_plate,art_plate,A1,A19,250
color_plate,art_plate,A1,A21,250
color_plate,art_plate,A1,A23,250
color_plate,art_plate,A1,A25,250
color_plate,art_plate,A1,A27,250
color_plate,art_plate,A1,A29,250
color_plate,art_plate,A1,A31,250
color_plate,art_plate,A1,A33,250
color_plate,art_plate,A1,A35,250
color_plate,art_plate,A1,A37,250
color_plate,art_plate,A1,A39,250
color_plate,art_plate,A1,A41,250
color_plate,art_plate,A1,A43,250
color_plate,art_plate,A1,B1,250
color_plate,art_plate,A1,B13,250
color_plate,art_plate,A1,B14,250
color_plate,art_plate,A1,B17,250
color_plate,art_plate,A1,B19,250
color_plate,art_plate,A1,B20,250
color_plate,art_plate,A1,B21,250
color_plate,art_plate,A1,B23,250
color_plate,art_plate,A1,B27,250
color_plate,art_plate,A1,B28,250
color_plate,art_plate,A1,B29,250
color_plate,art_plate,A1,B30,250
color_plate,art_plate,A1,B31,250
color_plate,art_plate,A1,B33,250
color_plate,art_plate,A1,B39,250
color_plate,art_plate,A1,B41,250
color_plate,art_plate,A1,B42,250
color_plate,art_plate,A1,B43,250
color_plate,art_plate,A1,B44,250
color_plate,art_plate,A1,C2,250
color_plate,art_plate,A1,C3,250
color_plate,art_plate,A1,C13,250
color_plate,art_plate,A1,C16,250
color_plate,art_plate,A1,C18,250
color_plate,art_plate,A1,C20,250
color_plate,art_plate,A1,C24,250
color_plate,art_plate,A1,C29,250
color_plate,art_plate,A1,C31,250
color_plate,art_plate,A1,C33,250
color_plate,art_plate,A1,C34,250
color_plate,art_plate,A1,D4,250
color_plate,art_plate,A1,D13,250
color_plate,art_plate,A1,D21,250
color_plate,art_plate,A1,D22,250
color_plate,art_plate,A1,D23,250
color_plate,art_plate,A1,D24,250
color_plate,art_plate,A1,D25,250
color_plate,art_plate,A1,D27,250
color_plate,art_plate,A1,D28,250
color_plate,art_plate,A1,D29,250
color_plate,art_plate,A1,D30,250
color_plate,art_plate,A1,D31,250
color_plate,art_plate,A1,D33,250
color_plate,art_plate,A1,D36,250
color_plate,art_plate,A1,D37,250
color_plate,art_plate,A1,D38,250
color_plate,art_plate,A1,D42,250
color_plate,art_plate,A1,D44,250
color_plate,art_plate,A1,E1,250
color_plate,art_plate,A1,E2,250
color_plate,art_plate,A1,E3,250
color_plate,art_plate,A1,E13,250
color_plate,art_plate,A1,E14,250
color_plate,art_plate,A1,E16,250
color_plate,art_plate,A1,E18,250
color_plate,art_plate,A1,E21,250
color_plate,art_plate,A1,E25,250
color_plate,art_plate,A1,E29,250
color_plate,art_plate,A1,E33,250
color_plate,art_plate,A1,E35,250
color_plate,art_plate,A1,E36,250
color_plate,art_plate,A1,E37,250
color_plate,art_plate,A1,E38,250
color_plate,art_plate,A1,E40,250
color_plate,art_plate,A1,E41,250
color_plate,art_plate,A1,E42,250
color_plate,art_plate,A1,E43,250
color_plate,art_plate,A1,F13,250
color_plate,art_plate,A1,F14,250
color_plate,art_plate,A1,F16,250
color_plate,art_plate,A1,F17,250
color_plate,art_plate,A1,F18,250
color_plate,art_plate,A1,F20,250
color_plate,art_plate,A1,F22,250
color_plate,art_plate,A1,F23,250
color_plate,art_plate,A1,F25,250
color_plate,art_plate,A1,F28,250
color_plate,art_plate,A1,F29,250
color_plate,art_plate,A1,F31,250
color_plate,art_plate,A1,F32,250
color_plate,art_plate,A1,F33,250
color_plate,art_plate,A1,F34,250
color_plate,art_plate,A1,F39,250
color_plate,art_plate,A1,F42,250
color_plate,art_plate,A1,F44,250
color_plate,art_plate,A1,G2,250
color_plate,art_plate,A1,G3,250
color_plate,art_plate,A1,G13,250
color_plate,art_plate,A1,G14,250
color_plate,art_plate,A1,G15,250
color_plate,art_plate,A1,G17,250
color_plate,art_plate,A1,G18,250
color_plate,art_plate,A1,G20,250
color_plate,art_plate,A1,G24,250
color_plate,art_plate,A1,G25,250
color_plate,art_plate,A1,G26,250
color_plate,art_plate,A1,G29,250
color_plate,art_plate,A1,G30,250
color_plate,art_plate,A1,G32,250
color_plate,art_plate,A1,G33,250
color_plate,art_plate,A1,G35,250
color_plate,art_plate,A1,G37,250
color_plate,art_plate,A1,G40,250
color_plate,art_plate,A1,G41,250
color_plate,art_plate,A1,G42,250
color_plate,art_plate,A1,G43,250
color_plate,art_plate,A1,H1,250
color_plate,art_plate,A1,H13,250
color_plate,art_plate,A1,H14,250
color_plate,art_plate,A1,H16,250
color_plate,art_plate,A1,H19,250
color_plate,art_plate,A1,H21,250
color_plate,art_plate,A1,H22,250
color_plate,art_plate,A1,H24,250
color_plate,art_plate,A1,H26,250
color_plate,art_plate,A1,H28,250
color_plate,art_plate,A1,H29,250
color_plate,art_plate,A1,H30,250
color_plate,art_plate,A1,H33,250
color_plate,art_plate,A1,H35,250
color_plate,art_plate,A1,H36,250
color_plate,art_plate,A1,H39,250
color_plate,art_plate,A1,H41,250
color_plate,art_plate,A1,H42,250
color_plate,art_plate,A1,H43,250
color_plate,art_plate,A1,H44,250
color_plate,art_plate,A1,I1,250
color_plate,art_plate,A1,I13,250
color_plate,art_plate,A1,I14,250
color_plate,art_plate,A1,I15,250
color_plate,art_plate,A1,I18,250
color_plate,art_plate,A1,I19,250
color_plate,art_plate,A1,I25,250
color_plate,art_plate,A1,I27,250
color_plate,art_plate,A1,I29,250
color_plate,art_plate,A1,I30,250
color_plate,art_plate,A1,I31,250
color_plate,art_plate,A1,I34,250
