source_plate,destination_plate,source_well,destination_well,volume_nL
color_plate,art_plate,A1,A2,200
color_plate,art_plate,A1,A3,200
color_plate,art_plate,A1,A4,200
color_plate,art_plate,A1,A13,200
color_plate,art_plate,A1,A15,200
color_plate,art_plate,A1,A17,200
color_plate,art_plate,A1,A19,200
color_plate,art_plate,A1,A21,200
color_plate,art_plate,A1,A23,200
color_plate,art_plate,A1,A25,200
color_plate,art_plate,A1,A27,200
color_plate,art_plate,A1,A29,200
color_plate,art_plate,A1,A31,200
color_plate,art_plate,A1,A33,200
color_plate,art_plate,A1,A35,200
color_plate,art_plate,A1,A37,200
color_plate,art_plate,A1,A39,200
color_plate,art_plate,A1,A41,200
color_plate,art_plate,A1,A43,200
color_plate,art_plate,A1,B1,200
color_plate,art_plate,A1,B13,200
color_plate,art_plate,A1,B14,200
color_plate,art_plate,A1,B17,200
color_plate,art_plate,A1,B19,200
color_plate,art_plate,A1,B20,200
color_plate,art_plate,A1,B21,200
color_plate,art_plate,A1,B23,200
color_plate,art_plate,A1,B27,200
color_plate,art_plate,A1,B28,200
color_plate,art_plate,A1,B29,200
color_plate,art_plate,A1,B30,200
color_plate,art_plate,A1,B31,200
color_plate,art_plate,A1,B33,200
color_plate,art_plate,A1,B39,200
color_plate,art_plate,A1,B41,200
color_plate,art_plate,A1,B42,200
color_plate,art_plate,A1,B43,200
color_plate,art_plate,A1,B44,200
color_plate,art_plate,A1,C2,200
color_plate,art_plate,A1,C3,200
color_plate,art_plate,A1,C13,200
color_plate,art_plate,A1,C16,200
color_plate,art_plate,A1,C18,200
color_plate,art_plate,A1,C20,200
color_plate,art_plate,A1,C24,200
color_plate,art_plate,A1,C29,200
color_plate,art_plate,A1,C31,200
color_plate,art_plate,A1,C33,200
color_plate,art_plate,A1,C34,200
color_plate,art_plate,A1,D4,200
color_plate,art_plate,A1,D13,200
color_plate,art_plate,A1,D21,200
color_plate,art_plate,A1,D22,200
color_plate,art_plate,A1,D23,200
color_plate,art_plate,A1,D24,200
color_plate,art_plate,A1,D25,200
color_plate,art_plate,A1,D27,200
color_plate,art_plate,A1,D28,200
color_plate,art_plate,A1,D29,200
color_plate,art_plate,A1,D30,200
color_plate,art_plate,A1,D31,200
color_plate,art_plate,A1,D33,200
color_plate,art_plate,A1,D36,200
color_plate,art_plate,A1,D37,200
color_plate,art_plate,A1,D38,200
color_plate,art_plate,A1,D42,200
color_plate,art_plate,A1,D44,200
color_plate,art_plate,A1,E1,200
color_plate,art_plate,A1,E2,200
color_plate,art_plate,A1,E3,200
color_plate,art_plate,A1,E13,200
color_plate,art_plate,A1,E14,200
color_plate,art_plate,A1,E16,200
color_plate,art_plate,A1,E18,200
color_plate,art_plate,A1,E21,200
color_plate,art_plate,A1,E25,200
color_plate,art_plate,A1,E29,200
color_plate,art_plate,A1,E33,200
color_plate,art_plate,A1,E35,200
color_plate,art_plate,A1,E36,200
color_plate,art_plate,A1,E37,200
color_plate,art_plate,A1,E38,200
color_plate,art_plate,A1,E40,200
color_plate,art_plate,A1,E41,200
color_plate,art_plate,A1,E42,200
color_plate,art_plate,A1,E43,200
color_plate,art_plate,A1,F13,200
color_plate,art_plate,A1,F14,200
color_plate,art_plate,A1,F16,200
color_plate,art_plate,A1,F17,200
color_plate,art_plate,A1,F18,200
color_plate,art_plate,A1,F20,200
color_plate,art_plate,A1,F22,200
color_plate,art_plate,A1,F23,200
color_plate,art_plate,A1,F25,200
color_plate,art_plate,A1,F28,200
color_plate,art_plate,A1,F29,200
color_plate,art_plate,A1,F31,200
color_plate,art_plate,A1,F32,200
color_plate,art_plate,A1,F33,200
color_plate,art_plate,A1,F34,200
color_plate,art_plate,A1,F39,200
color_plate,art_plate,A1,F42,200
color_plate,art_plate,A1,F44,200
color_plate,art_plate,A1,G2,200
color_plate,art_plate,A1,G3,200
color_plate,art_plate,A1,G4,200
color_plate,art_plate,A1,G13,200
color_plate,art_plate,A1,G14,200
color_plate,art_plate,A1,G15,200
color_plate,art_plate,A1,G17,200
color_plate,art_plate,A1,G18,200
color_plate,art_plate,A1,G20,200
color_plate,art_plate,A1,G24,200
color_plate,art_plate,A1,G25,200
color_plate,art_plate,A1,G26,200
color_plate,art_plate,A1,G29,200
color_plate,art_plate,A1,G30,200
color_plate,art_plate,A1,G32,200
color_plate,art_plate,A1,G33,200
color_plate,art_plate,A1,G35,200
color_plate,art_plate,A1,G37,200
color_plate,art_plate,A1,G40,200
color_plate,art_plate,A1,G41,200
color_plate,art_plate,A1,G42,200
color_plate,art_plate,A1,G43,200
color_plate,art_plate,A1,H1,200
color_plate,art_plate,A1,H13,200
color_plate,art_plate,A1,H14,200
color_plate,art_plate,A1,H16,200
color_plate,art_plate,A1,H19,200
color_plate,art_plate,A1,H21,200
color_plate,art_plate,A1,H22,200
color_plate,art_plate,A1,H24,200
color_plate,art_plate,A1,H26,200
color_plate,art_plate,A1,H28,200
color_plate,art_plate,A1,H29,200
color_plate,art_plate,A1,H30,200
color_plate,art_plate,A1,H33,200
color_plate,art_plate,A1,H35,200
color_plate,art_plate,A1,H36,200
color_plate,art_plate,A1,H39,200
color_plate,art_plate,A1,H41,200
color_plate,art_plate,A1,H42,200
color_plate,art_plate,A1,H43,200
color_plate,art_plate,A1,H44,200
color_plate,art_plate,A1,I1,200
color_plate,art_plate,A1,I13,200
color_plate,art_plate,A1,I14,200
color_plate,art_plate,A1,I15,200
color_plate,art_plate,A1,I18,200
color_plate,art_plate,A1,I19,200
color_plate,art_plate,A1,I25,200
color_plate,art_plate,A1,I27,200
color_plate,art_plate,A1,I29,200
color_plate,art_plate,A1,I30,200
color_plate,art_plate,A1,I31,200
color_plate,art_plate,A1,I34,200
color_plate,art_plate,A1,I35,200
color_plate,art_plate,A1,I36,200
color_plate,art_plate,A1,I39,200
color_plate,art_plate,A1,I40,200
color_plate,art_plate,A1,I42,200
color_plate,art_plate,A1,J1,200
color_plate,art_plate,A1,J13,200
color_plate,art_plate,A1,J14,200
color_plate,art_plate,A1,J16,200
color_plate,art_plate,A1,J17,200
color_plate,art_plate,A1,J20,200
color_plate,art_plate,A1,J21,200
color_plate,art_plate,A1,J22,200
color_plate,art_plate,A1,J23,200
color_plate,art_plate,A1,J24,200
color_plate,art_plate,A1,J25,200
color_plate,art_plate,A1,J27,200
color_plate,art_plate,A1,J28,200
color_plate,art_plate,A1,J29,200
color_plate,art_plate,A1,J32,200
color_plate,art_plate,A1,J33,200
color_plate,art_plate,A1,J34,200
color_plate,art_plate,A1,J42,200
color_plate,art_plate,A1,J43,200
color_plate,art_plate,A1,J44,200
color_plate,art_plate,A1,K2,200
color_plate,art_plate,A1,K3,200
color_plate,art_plate,A1,K4,200
color_plate,art_plate,A1,K13,200
color_plate,art_plate,A1,K17,200
color_plate,art_plate,A1,K18,200
color_plate,art_plate,A1,K19,200
color_plate,art_plate,A1,K21,200
color_plate,art_plate,A1,K22,200
color_plate,art_plate,A1,K23,200
color_plate,art_plate,A1,K24,200
color_plate,art_plate,A1,K26,200
color_plate,art_plate,A1,K29,200
color_plate,art_plate,A1,K30,200
color_plate,art_plate,A1,K32,200
color_plate,art_plate,A1,K37,200
color_plate,art_plate,A1,K38,200
color_plate,art_plate,A1,K43,200
color_plate,art_plate,A1,L13,200
color_plate,art_plate,A1,L17,200
color_plate,art_plate,A1,L18,200
color_plate,art_plate,A1,L19,200
color_plate,art_plate,A1,L21,200
